Price,Square Feet
200000,2000
205000,2075
210000,2050
215000,2130
220000,2200
225000,2300
230000,2250
235000,2250
240000,2150
245000,2300
250000,2300
255000,2350
260000,2250
265000,2450
270000,2500
275000,2400
280000,2550
285000,2590
290000,2800
295000,2600
300000,2700
305000,2850
310000,2950
315000,2775
320000,3000
325000,3050
330000,3200
335000,3150
340000,3300
345000,3350
350000,3200
355000,3500
360000,3400
365000,3550
370000,3600
375000,3400
380000,3700
385000,3660
390000,4000
395000,3900
400000,3850
405000,4100
410000,4200
415000,4050
420000,3950
425000,4400
430000,4350
435000,4250
440000,4450
445000,4600
